imdbID,title,year,rating,runtime,genre,released,director,writer,cast,metacritic,imdbRating,imdbVotes,poster,plot,fullplot,language,country,awards,lastupdated,type
91,The House of the Devil,1896,,3 min,"Short, Horror",,Georges M�li�s,Georges M�li�s,"Jeanne d'Alcy, Georges M�li�s",,6.8,1135,,"A bat flies into an ancient castle and transforms itself into Mephistopheles himself. Producing a cauldron, Mephistopheles conjures up a young girl and various supernatural creatures, one ...","A bat flies into an ancient castle and transforms itself into Mephistopheles himself. Producing a cauldron, Mephistopheles conjures up a young girl and various supernatural creatures, one of which brandishes a crucifix in an effort to force the devil-vampire to vanish.",,France,,2015-08-26 00:06:16.697000000,movie
75,The Conjuring of a Woman at the House of Robert Houdin,1896,,1 min,Short,,Georges M�li�s,,"Jeanne d'Alcy, Georges M�li�s",,6.3,759,,A woman disappears on stage.,"An elegantly dressed man enters through a stage door onto a set with decorated back screen, a chair and small table. He brings a well-dressed women through the door, spreads a newspaper on the floor, and places the chair on it. She sits and fans herself; he covers her with a diaphanous cloth. She disappears; he tries to conjure her back with incomplete results. Can he go beyond the bare bones of a conjuring trick and succeed in the complete reconstitution of a the lady?",,France,,2015-08-26 00:05:55.493000000,movie
131,A Terrible Night,1896,,1 min,"Short, Comedy",,Georges M�li�s,,Georges M�li�s,,5.9,498,,"A man tries to get a good night's sleep, but is disturbed by a giant spider that leaps onto his bed, and a battle ensues in hilarious comic fashion.","A man tries to get a good night's sleep, but is disturbed by a giant spider that leaps onto his bed, and a battle ensues in hilarious comic fashion.",,France,,2015-08-26 00:07:48.213000000,movie
132,Une partie de cartes,1896,,1 min,"Short, Biography",,Georges M�li�s,Georges M�li�s,"Gaston M�li�s, Georges M�li�s, Georgette M�li�s",,5.1,462,,Three friends are playing cards in a beer garden. One of them orders drinks. The waitress comes back with a bottle of wine and three glasses on a tray. The man serves his friends. They ...,Three friends are playing cards in a beer garden. One of them orders drinks. The waitress comes back with a bottle of wine and three glasses on a tray. The man serves his friends. They clink glasses and drink. Then the man asks for a newspaper. He reads a funny story in it and the three friends burst out laughing while the waitress merely smiles.,,France,,2015-07-27 00:27:37.370000000,movie
138,The Bewitched Inn,1897,,2 min,"Short, Comedy",,Georges M�li�s,Georges M�li�s,Georges M�li�s,,6.5,329,,"A weary traveler stops at an inn along the way to get a good night's sleep, but his rest is interrupted by odd happenings when he gets to his room--beds vanishing and re-appearing, candles ...","A weary traveler stops at an inn along the way to get a good night's sleep, but his rest is interrupted by odd happenings when he gets to his room--beds vanishing and re-appearing, candles exploding, pants flying through the air and his shoes walking away by themselves.",,France,,2015-08-29 00:17:59.703000000,movie
192,"Ella Lola, a la Trilby",1898,,,Short,,James H. White,George L. Du Maurier (novel),Ella Lola,,4.7,83,,"Dancer Ella Lola dances a routine based on the famous character of ""Trilby"".","Dancer Ella Lola dances a routine based on the famous character of ""Trilby"".",,USA,,2015-08-29 00:19:44.140000000,movie
211,A Trip to the Moon,1898,,3 min,"Short, Fantasy",,Georges M�li�s,Georges M�li�s (creator),Georges M�li�s,,7.6,1057,,"""In the opening of this film is seen the astronomer intently poring over his books. Suddenly, in a cloud of smoke, Satan appears and surprises the astronomer. At the command of the Fairy ...","""In the opening of this film is seen the astronomer intently poring over his books. Suddenly, in a cloud of smoke, Satan appears and surprises the astronomer. At the command of the Fairy Queen, who suddenly appears, Satan vanishes; she awakens the astronomer and as he goes forward to meet her she disappears. The astronomer is very much excited, and, rushing over to the large telescope he tries to discover by what means she had vanished. The moon now appears, and begins her repast by eating the immense telescope used by the astronomer. The astronomer flies around apparently wild at the loss of his wonderful telescope. Suddenly the moon opens wide her mouth and there comes forth a tot of about five summers. She is immediately followed by two others, and they proceed to dance around the astronomer, and vanish one at a time until but one is left. The astronomer, picking her up, thinking he could keep her, hugs her tightly in his arms, but she also vanishes. Tired and heart-broken the astronomer grasps a broom and attempts to strike the moon, when she suddenly vanishes and in the distance laughs at him, rolling his eyes forward and backward, apparently convulsed with laughter. The moon suddenly changes to a crescent, and a fairy appears sitting on it. The veiled figure which stands before him throws back its veil and becomes animated; he rushes forward and grasps it, when, to his utter amazement, it disappears in the air. The Fairy Queen appears in the crescent. She first seats herself, and the astronomer puts his arms out for her, thinking perhaps he can reach her, when she disappears and in her place there stands a marble statue of a man. The astronomer, in his efforts to reach her falls to the ground. Rising and seeing the statue he is so incensed that he grabs a club, and as he is about to crush the statue it suddenly becomes alive. The large moon again appearing to his view he throws himself into it, and the moon, winking one eye, proceeds to chew him up. The moon's large teeth are seen to sink into the astronomer again and again until he is reduced to small pieces, when piece by piece he is ejected from the moon's mouth and lies there, one piled on the other. Suddenly in a cloud of smoke, Satan appears, but the Fairy Queen drives him off again. She proceeds to pick up different parts of the astronomer and hurls them across the room, and piece by piece they take their proper position in the chair, until the astronomer is again seated as he was before. Suddenly he comes to life again. He moves forward to grasp the Fairy Queen, when suddenly she disappears. The scene is again laid in the astronomer's observatory, the astronomer sitting at the table, asleep over his volume, which he has been studying.""",,France,,2015-08-29 00:20:20.280000000,movie
230,Cinderella,1899,,6 min,"Drama, Short",1899-12-25,Georges M�li�s,Charles Perrault (story),"Barral, Bleuette Bernon, Carmely, Jeanne d'Alcy",,6.6,586,http://ia.media-imdb.com/images/M/MV5BMTgwMDY1MzM1NV5BMl5BanBnXkFtZTgwMjM1MzUwMzE@._V1_SX300.jpg,"A fairy godmother magically turns Cinderella's rags to a beautiful dress, and a pumpkin into a coach. Cinderella goes to the ball, where she meets the Prince - but will she remember to leave before the magic runs out?","A fairy godmother magically turns Cinderella's rags to a beautiful dress, and a pumpkin into a coach. Cinderella goes to the ball, where she meets the Prince - but will she remember to leave before the magic runs out?",,France,,2015-08-29 00:20:56.217000000,movie
242,The Sign of the Cross,1899,,3 min,"Short, Fantasy",1900-06-30,Georges M�li�s,Georges M�li�s,Georges M�li�s,,6.3,388,http://ia.media-imdb.com/images/M/MV5BMjM1NTQyNDQxOV5BMl5BanBnXkFtZTgwMTQ1MzUwMzE@._V1_SX300.jpg,,,,France,,2015-08-29 00:21:15.827000000,movie
246,A Turn of the Century Illusionist,1899,,1 min,Short,,Georges M�li�s,,Georges M�li�s,,6.6,580,,,,,France,,2015-08-29 00:21:21.547000000,movie
304,Grandma's Reading Glass,1900,,2 min,Short,1900-11-01,George Albert Smith,,Harold Smith,,6.1,555,,"A boy looks through glasses at various objects, seen magnified.","A child borrows his grandmother's magnifying glass to look at a newspaper ad for Bovril, at a watch, and then at a bird. The child shows grandma what he is doing. The child looks next at grandma's eye, then at a kitten.",,UK,,2015-08-29 00:23:05.170000000,movie
313,Let Me Dream Again,1900,,1 min,"Short, Comedy",1900-08-01,George Albert Smith,,"Laura Bayley, Tom Green",,5.9,378,,"A man dreams he is flirting with an attractive young lady, then he wakes up in bed next to his wife.","A man and woman festively dressed in costumes are dreaming. They wake to drink, play, and smoke. He snuggles her; she's happily willing. Suddenly, the scene ends and he's but a homely man in a loveless bed with a homely woman - husband and wife.",,UK,,2015-08-29 00:23:19.547000000,movie
359,The India Rubber Head,1901,,3 min,"Short, Comedy",,Georges M�li�s,,Georges M�li�s,,7.2,1439,,"A chemist in his laboratory places upon a table his own head, alive; then fixing upon his head a rubber tube with a pair of bellows, he begins to blow with all his might. Immediately the ...","A chemist in his laboratory places upon a table his own head, alive; then fixing upon his head a rubber tube with a pair of bellows, he begins to blow with all his might. Immediately the head increases in size and continues to enlarge until it becomes truly colossal while making faces. The chemist, fearing to burst it, opens a cock in the tube. The head immediately contracts and resumes its original size. He then calls his assistant and informs him of his discovery. The assistant, wishing to experiment for himself, seizes the bellows and blows into the head with all his might. The head swells until it bursts with a crash, knocking over the two experimenters.",,France,,2015-08-29 00:24:23.860000000,movie
364,Panorama of Esplanade by Night,1901,,1 min,"Documentary, Short",1901-11-01,Edwin S. Porter,,,,5.6,87,,"A most perfect picture of the Pan-American Exposition buildings, including the Electric Tower and Temple of Music, as they appear at night.","Panoramic view of the 1901 Pan-American Exposition filmed at night. According to Edwin S. Porter, this is the first American film ever shot at night using incandescent light.",English,USA,,2015-08-29 00:24:31.077000000,movie
399,Jack and the Beanstalk,1902,,10 min,"Short, Fantasy",1902-07-15,"George S. Fleming, Edwin S. Porter",,Thomas White,,6.2,442,http://ia.media-imdb.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg,Porter's sequential continuity editing links several shots to form a narrative of the famous fairy tale story of Jack and his magic beanstalk. Borrowing on cinematographic methods ...,"Porter's sequential continuity editing links several shots to form a narrative of the famous fairy tale story of Jack and his magic beanstalk. Borrowing on cinematographic methods reminiscent of 'Georges Melies', Porter uses animation, double exposure, and trick photography to illustrate the fairy's apparitions, Jack's dream, and the fast growing beanstalk.",English,USA,,2015-08-29 00:25:25.360000000,movie
417,A Trip to the Moon,1902,TV-G,13 min,"Short, Adventure, Fantasy",1902-10-04,Georges M�li�s,,"Fran�ois Lallement, Jules-Eug�ne Legris",,8.2,23904,http://ia.media-imdb.com/images/M/MV5BMTQzMDYxNzUxNl5BMl5BanBnXkFtZTgwMjgxNjkxMTE@._V1_SX300.jpg,A group of astronomers go on an expedition to the moon.,"A group of men travel to the moon by being shot in a capsule from a giant cannon. They are captured by moon-men, escape, and return to the earth.",,France,,2015-09-01 00:16:55.443000000,movie
420,Alice in Wonderland,1903,,8 min,"Fantasy, Short",1903-10-17,"Cecil M. Hepworth, Percy Stow","Lewis Carroll (novel), Cecil M. Hepworth","May Clark, Cecil M. Hepworth, Blair, Geoffrey Faithfull",,6.3,1572,,"Alice dozes in a garden, awakened by a dithering white rabbit in waistcoat with pocket watch. She follows him down a hole and finds herself in a hall of many doors. A key opens a small door...","Alice dozes in a garden, awakened by a dithering white rabbit in waistcoat with pocket watch. She follows him down a hole and finds herself in a hall of many doors. A key opens a small door: eventually, she's through into a garden where a dog awaits. Later, in the rabbit's home, her size is again a problem. She tries to help a nanny with a howling baby, then a Cheshire cat directs her to a tea party where the Mad Hatter and March Hare dunk a dormouse. Expelled from the party, Alice happens on a royal processional: all the cards in the deck precede the Queen of Hearts, who welcomes then turns on Alice and calls on the royal executioner. Alice must run for her life.",,UK,,2015-08-22 00:28:40.907000000,movie
447,Life of an American Fireman,1903,NOT RATED,6 min,"Short, Action",1903-01-01,"George S. Fleming, Edwin S. Porter",,"Vivian Vaughan, Arthur White, James H. White",,6.4,1158,http://ia.media-imdb.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg,"Porter's sequential continuity editing links several shots to form a narrative of firemen responding to a house fire. They leave the station with their horse drawn pumper, arrive on the ...","Porter's sequential continuity editing links several shots to form a narrative of firemen responding to a house fire. They leave the station with their horse drawn pumper, arrive on the scene, and effect the safe rescue of a woman from the burning house. But wait, she tells them of her child yet asleep in the burning bedroom . . .",English,USA,,2015-08-29 00:26:36.093000000,movie
439,The Great Train Robbery,1903,TV-G,11 min,"Short, Western",1903-12-01,Edwin S. Porter,,"A.C. Abadie, Gilbert M. 'Broncho Billy' Anderson, George Barnes, Justus D. Barnes",,7.4,9847,http://ia.media-imdb.com/images/M/MV5BMTQ4NDE5MDcyNF5BMl5BanBnXkFtZTgwNDU3Njk5MTE@._V1_SX300.jpg,"A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.",Among the earliest existing films in American cinema - notable as the first film that presented a narrative story to tell - it depicts a group of cowboy outlaws who hold up a train and rob the passengers. They are then pursued by a Sheriff's posse. Several scenes have color included - all hand tinted.,English,USA,1 win.,2015-08-13 00:27:59.177000000,movie
455,The Music Lover,1903,,3 min,"Short, Comedy, Music",1903-08-15,Georges M�li�s,,Georges M�li�s,,6.9,1121,,The leader of a marching band demonstrates an unusual way of writing music.,"A marching band appears, and the band-leader prepares to give them the music for the song he wants them to play. He has prepared a large staff above their heads, and he now creates notes by making duplicates of his own head, placing them on the staff, and completing the notes with sticks and other implements taken from the band members. When he has finished, the players attempt to perform the music that has been written in such an unusual fashion.",French,France,,2015-08-29 00:26:51.467000000,movie
465,Fairyland: A Kingdom of Fairies,1903,,16 min,"Short, Adventure, Fantasy",1903-09-05,Georges M�li�s,"Georges M�li�s, Marie-Catherine le Jumel d'Aulnoy (story)","Bleuette Bernon, Georges M�li�s",,7.3,574,http://ia.media-imdb.com/images/M/MV5BMjM3MTIwOTU0NV5BMl5BanBnXkFtZTgwNDM1MzUwMzE@._V1_SX300.jpg,"At the royal court, a prince is presenting the princess whom he is pledged to marry, when a witch suddenly appears. Though driven off, the witch soon returns, summons some of her servants, ...","At the royal court, a prince is presenting the princess whom he is pledged to marry, when a witch suddenly appears. Though driven off, the witch soon returns, summons some of her servants, and carries off the princess. A rescue party is quickly organized, but the unfortunate captive has been taken to a strange, forbidding realm, from where it will be impossible to rescue her without some special help.",,France,,2015-08-29 00:27:10.813000000,movie
469,The Sick Kitten,1903,,1 min,"Short, Comedy, Family",,George Albert Smith,,,,5.9,468,,A girl gives a spoonful of medicine to a kitten.,"A simple scene of two rather flamboyantly-dressed Edwardian children attempting to feed a spoonful of medicine to a sick kitten. The film is important for being one of the earliest films to cut to a close-up, then back again to the same medium shot as before",,UK,,2015-08-16 00:16:38.370000000,movie
437,Faust et M�phistoph�l�s,1903,,2 min,Short,,Alice Guy,,,,5.3,86,,,,,France,,2015-08-29 00:26:22.187000000,movie
498,Rescued by Rover,1905,,7 min,"Short, Drama, Family",1905-08-19,"Lewin Fitzhamon, Cecil M. Hepworth",Mrs. Hepworth (story),"Blair, May Clark, Barbara Hepworth, Cecil M. Hepworth",,6.7,666,,A dog leads its master to his kidnapped baby.,"Rescued by Rover is a film about a dog. Not only is it a film about a dog it is also a film about the kidnaping of a young baby by an old woman. With these two classical Hollywood ingredients and some stunning dialogue, (It's silent!), Rescued by Rover really hits a nerve. The repeated shots provide some interest in what, surprisingly, is an entertaining example of early cinema, canine heroics and a man wearing mascara.",,UK,,2015-08-29 00:28:01.313000000,movie
499,The Voyage Across the Impossible,1904,,24 min,"Short, Adventure, Fantasy",1904-10-01,Georges M�li�s,"Georges M�li�s, Jules Verne (play), Adolphe d'Ennery (play)",Georges M�li�s,,7.7,2022,http://ia.media-imdb.com/images/M/MV5BMTYxNjExMzk5Nl5BMl5BanBnXkFtZTgwMzE5MjAwMzE@._V1_SX300.jpg,"Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea.","Using every known means of transportation, several savants from the Geographic Society undertake a journey through the Alps to the Sun which finishes under the sea.",French,France,,2015-08-26 00:06:49.650000000,movie
488,The Land Beyond the Sunset,1912,UNRATED,14 min,"Short, Drama, Fantasy",1912-10-28,Harold M. Shaw,Dorothy G. Shore,"Martin Fuller, Mrs. William Bechtel, Walter Edwin, Ethel Jewett",,7.1,448,http://ia.media-imdb.com/images/M/MV5BMTMzMDcxMjgyNl5BMl5BanBnXkFtZTcwOTgxNjg4Mg@@._V1_SX300.jpg,"A young boy, opressed by his mother, goes on an outing in the country with a social welfare group where he dares to dream of a land where the cares of his ordinary life fade.","Thanks to the Fresh Air Fund, a slum child escapes his drunken mother for a day's outing in the country. Upon arriving, he and the other children are told a story about a mythical land of no pain. Rather then return to the slum at day's end, the lad seeks to journey to that beautiful land beyond the sunset.",English,USA,1 win.,2015-08-29 00:27:45.437000000,movie
516,The Electric Hotel,1908,,8 min,"Animation, Short",1908-12-19,Segundo de Chom�n,,"Segundo de Chom�n, Julienne Mathieu",,6.7,481,,According to the rapid strides that electricity is making in this wonderful age we are not surprised to see in this picture an ideal hotel of the future in which everything is done by ...,"According to the rapid strides that electricity is making in this wonderful age we are not surprised to see in this picture an ideal hotel of the future in which everything is done by electricity. We see a couple entering the hostelry and, after registering, the clerk touches a button and away goes the baggage on to the elevator, which stops at the proper floors and the grips enter the room without the aid of anyone. Many amusing incidents follow. Finally they pay the penalty for all the latest improvements, for something goes wrong with the electric plant in the cellar and mixes the whole place up. We see all the furnishings start to turn in all directions and the unfortunate guests find themselves in the midst of the affray. They manage to get to the door and are tumbled out and rolled across the street till out of the reach of the magnetic force, where they pick up their belongings and hurry home, vowing never to enter another electric hotel.",,"Spain, France",,2015-08-29 00:28:28.703000000,movie
524,New York Subway,1905,UNRATED,6 min,"Short, Documentary",1905-06-05,G.W. Bitzer,,,,5.7,466,,"Starting at Union Square, we are taken for an underground excursion, following the path of a subway train as it makes its way through New York City subway tunnels on its journey to the old ...","Starting at Union Square, we are taken for an underground excursion, following the path of a subway train as it makes its way through New York City subway tunnels on its journey to the old Grand Central Station.",,USA,,2015-08-29 00:28:39.077000000,movie
534,The '?' Motorist,1906,,3 min,"Fantasy, Short, Comedy",1906-10-01,Walter R. Booth,,,,6.8,467,,A British trick film in which a motorist ends up driving around the rings of Saturn.,"A magical glowing white motorcar dismembers policemen, drives up buildings, flies through outer space and can transform into a horse and carriage. This was a British effort to top Melies at his Sci-Fi/fantasy/comedy trick films.",English,UK,,2015-08-29 00:28:54.797000000,movie
546,Dream of a Rarebit Fiend,1906,,7 min,"Short, Fantasy",1906-02-01,"Wallace McCutcheon, Edwin S. Porter",Winsor McCay (comic strip),Jack Brawn,,6.7,1082,,The fiend faces the spectacular mind-bending consequences of his free-wheeling rarebit binge.,"Adapted from Winsor McCay's films and comics of the period, this film follows the established theme: the ""Rarebit Fiend"" gorges himself on rarebit and thus suffers spectacular hallucinatory dreams.",English,USA,,2015-08-29 00:29:11.733000000,movie
567,The 400 Tricks of the Devil,1906,,17 min,"Short, Fantasy",1972-07-01,Georges M�li�s,,Georges M�li�s,,6.8,424,http://ia.media-imdb.com/images/M/MV5BOTc4NDU2NTA0N15BMl5BanBnXkFtZTgwNDQ1MzUwMzE@._V1_SX300.jpg,Two travellers are tormented by Satan from inn to inn and eventuly experience a buggy ride through the heavens courtesy of the Devil before he takes one of them down to hell and roasts him ...,Two travellers are tormented by Satan from inn to inn and eventuly experience a buggy ride through the heavens courtesy of the Devil before he takes one of them down to hell and roasts him on a spit.,,France,,2015-08-29 00:29:42.217000000,movie
554,Humorous Phases of Funny Faces,1906,,3 min,"Animation, Short, Comedy",1906-04-06,J. Stuart Blackton,,J. Stuart Blackton,,6.2,625,,A cartoonist draws faces and figures on a blackboard - and they come to life.,"Considered the first truly animated movie (or at least the first verifiable, surviving animation), this film is based on the lightning-sketch, a popular vaudeville act. The artist (Blackton) draws a series of faces on a blackboard, which then seem to take on a life of their own.",,USA,,2015-08-29 00:29:22.593000000,movie
574,The Story of the Kelly Gang,1906,,70 min,"Biography, Crime, Drama",1906-12-26,Charles Tait,Charles Tait,"Elizabeth Tait, John Tait, Norman Campbell, Bella Cola",,6.3,285,,True story of notorious Australian outlaw Ned Kelly (1855-80).,True story of notorious Australian outlaw Ned Kelly (1855-80).,,Australia,,2015-08-29 00:29:52.170000000,movie
614,The Red Spectre,1907,,9 min,"Short, Fantasy",1907-08-17,"Segundo de Chom�n, Ferdinand Zecca",Segundo de Chom�n,,,6.5,442,,"A demonic magician attempts to perform his act in a strange grotto, but is confronted by a Good Spirit who opposes him.","In a strange grotto deep in the bowels of the earth a coffin uprights itself, dances, then opens, and out steps a demonic magician with skeletal face, horns, and cape. He wraps two women (who appear to be in a trance) in fabric, levitates them, and causes them to burst into flames and disappear. As he gathers their ashes in a pitcher a Good Spirit [a young woman who resembles Peter Pan] appears, shakes her head No, and reveals the ""souls"" of the two women in a secret compartment deeper within the cave. The Good Spirit vanishes in a puff of smoke. The magician then produces 3 glass bottles on pillars, takes them downstage close to the camera, and reveals 3 tiny women in them; one woman beats a tambourine while the other two sway. The magician pours ashes (?) into the bottles, but the Good Spirit reappears and makes these trapped figures disappear in a flash, angering the magician, who chases her away. He makes an easel appear. There is an odd sort of screen on it bearing the Pathe rooster logo. The magician then invents channel-surfing, causing three different ""shows"" to appear on the screen in rapid succession. The Good Spirit reappears and causes this strange television set to vanish, but the magician creates two more in turn, each more elaborate than the last, with various images of persons and dogs flashing across their screens. Finally, the Good Spirit reveals to the evil magician an area within the cave where there are four pillars and a tableau of distinguished-looking ladies (goddesses?). She takes the magician downstage, forces him to the ground, pours a pitcher of something on him (ashes? Holy water?) and turns him into a lifeless skeleton, which she reveals to the camera. Three tall flames appear in the foreground, and the film is over.",French,France,,2015-08-14 00:07:10.770000000,movie
682,A Fantasy,1908,,2 min,"Animation, Short, Fantasy",1908-08-17,�mile Cohl,,,,6.9,1245,,"The first all-animated film in history, a series of scenes without much narrative structure, but morphing into each other.","The first all-animated film in history, a series of scenes without much narrative structure, but morphing into each other.",,France,,2015-08-29 00:33:10.437000000,movie
